"","Babacomari.Series","Chihuahuan.Series","Chuska.White.Ware","Cibola.White.Ware","Early.White.Mountain.Red.Ware","Hopi.White.Ware","Jeddito.Orange.Ware","Jornada.Mogollon.Brown.Ware","Kintiel.Klagetoh.Ware","Late.White.Mountain.Red.Ware","Lower.Colorado.Buff.Ware","Maverick.Mountain.Series","Mesa.Verde.White.Ware","Middle.Gila.Buff.Ware.and.Gray.Ware","Mogollon.Brown.Ware","Prescott.Gray.Ware","Rio.Grande.White.Ware","Roosevelt.Red.Ware","Salado.Series","San.Carlos.Brown.Ware","Tizon.Brown.Ware","Tsegi.Orange.Ware","Tucson.Basin.Brown.Ware","Tusayan.White.Ware","Winslow.Orange.Ware","Zuni.Glaze.Ware"
"Buzan",0,0,0,0,0.37,0,0,0,0,0,0,2,0,0,0,0,0,9,0,9,0,0,1.68,0,0,0
"Ash Terrace",0,0,0,0.36,0,0,0,0,0,0,0,0.57,0,0,0,0,0,3.13,0,2.06,0,0,2.08,0,0,0
"Lost Mound",0,0,0,5.17,0,0,0,0,0,0.34,0,4.22,0,0,0.44,0,0,32.99,0,40.87,0,0,2.26,0,0,0
"Dudleyville Mound",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.48,0,0.19,0,0,0,0,0,0
"Leaverton",0,0,0,0.67,3,0,0,0,0,0,0,0.78,0,0,0,0,0,3.93,0,2.63,0,0,0,0,0,0
"Camp Village",0,0,0,0,0,0,0,0,0,0,0,3.04,0,0,0,0,0,1.71,0,3.04,0,0,0.5,0,0,0
"High Mesa",0,0,0,0.44,0,0,0,0,0,0,0,18.18,0,0,0,0,0,20.38,0,1.22,0,0,6.36,0,0,0
"Bayless Ruin",0,0,0,1.74,0,0,0,0,0,0,0,3.14,0,0,0,0,0,29.72,0,2.7,0,0,41.59,0,0,0
"Flieger",0,0,0,1.31,0,0,0,0,0,0,0,2.2,0,0,0,0,0,3.11,0,1.27,0,0,2.13,0,0,0
"Big Bell",0,0,0,0.43,0,0,0,0,0,0,0,0.08,0,0.38,0,0,0,0.77,0,0.84,0,0,5.55,0,0,0
"111 Ranch",0,0,0,0.43,0,0,0,0,0,0,0,12.25,0,1.03,0,0,0,6.24,0,7.8,0,0,2.23,0,0,0
"Davis Ranch Site",0,0,0,0,0,0,0,1.29,0,0,0,47.14,0,0.62,0,0,0,54.45,0,7.65,0,13,34.32,0,0,0
"Jose Solas Ruin",0,0,0,0,0,0,0,0,0,0,0,0.06,0,0,0,0,0,7.97,0,0.13,0,0,4.11,0,0,0
"Armer Gulch Ruin",0,0,0,3.15,3,0,0,0,0,1.25,0,0,0,0,0,0,0,0.27,73.19,0.09,0,0,0,0,0,0
"AZ U:4:009 (ASM)",0,0,0,12.48,0,0,0,0,0,1.11,0,0,0,0,0.51,0,0,7.96,0.29,0,0,0,0,0,0,0
"AZ U:8:589 (ASM)",0,0,0,3.33,0.38,0,0,0,0,0,0,0,0,0,1.46,0,0,0,13.51,0,0,0,0,0,0,0
"AZ V:5:125 (ASM)",0,0,0,6.35,0,0,0,0,0,0,0,0,0,0,0.5,0,0,0,0.69,0,0,0,0,0,0,0
"Bass Point Mound",0,0,0,280.74,22.49,0,0,0,0,35,0,0,0,8.77,8.4,0,0,84,135.28,1,0,0,1.72,0,0,0
"Griffen Wash Complex",0,0,0,248.19,23.67,0,0,0,0,44,0,2,0,2.39,42.4,0,0,49,154.71,2,0,0,3.42,0,0,0
"Indian Point Complex",0,0,0,36.02,1.02,0,0,0,0,3.63,0,0.07,0,0.54,0.51,0,0,10.84,2.78,3.51,0,0,0.94,0,0,0
"Las Tortugas",0,0,0,209.98,0,0,0,0,0,22,0,4,0,0,2.09,0,0,126,3.28,0,0,0,0,1.64,0,0
"Los Hermanos",0,0,0,52.62,0,0,0,0,0,2,0,0,0,0,0,0,0,15,0,0,0,0,0,0,0,0
"Meddler Point Mound",0,0,0,349.51,8.95,0,0,0,0,37,0,2,0,9.58,61.37,0,0,47,53.11,3,0,0,1.65,0,0,0
"Pinto Point Mound",0,0,0,422.74,26.19,0,0,0,0,15.72,0,0.13,0,4.32,45.43,0,0,141.21,39.96,1.29,0,0,6.21,0,0,0
"Pyramid Point Complex",0,0,0,38.48,1.1,0,0,0,0,10,0,4,0,1.45,6.1,0,0,20,36.17,0,0,0,0,0,0,0
